date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:37	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Nov%202024%2011:34:31%20GMT	http://saturn.picoctf.net:52044/robots.txt		(from )
20:34:38	15920/15920	---M--	200	added ('OK')	text/html	etag:%226412714b-3e30%22	http://saturn.picoctf.net:52044/	saturn.picoctf.net_52044/index.html	(from )
20:34:41	140421/140421	---M--	200	added ('OK')	text/css	etag:%226412714b-22485%22	http://saturn.picoctf.net:52044/css/bootstrap.min.css	saturn.picoctf.net_52044/css/bootstrap.min.css	(from http://saturn.picoctf.net:52044/)
20:34:41	3351/3351	---M--	200	added ('OK')	text/css	etag:%226412714b-d17%22	http://saturn.picoctf.net:52044/css/owl.carousel.min.css	saturn.picoctf.net_52044/css/owl.carousel.min.css	(from http://saturn.picoctf.net:52044/)
20:34:41	10449/10449	---M--	200	added ('OK')	text/css	etag:%2264cd5fe6-28d1%22	http://saturn.picoctf.net:52044/css/style.css	saturn.picoctf.net_52044/css/style.css	(from http://saturn.picoctf.net:52044/)
20:34:42	8660/8660	---M--	200	added ('OK')	text/css	etag:%226412714b-21d4%22	http://saturn.picoctf.net:52044/css/responsive.css	saturn.picoctf.net_52044/css/responsive.css	(from http://saturn.picoctf.net:52044/)
20:34:43	35499/35499	---M--	200	added ('OK')	image/gif	etag:%226412714b-8aab%22	http://saturn.picoctf.net:52044/images/loading.gif	saturn.picoctf.net_52044/images/loading.gif	(from http://saturn.picoctf.net:52044/)
20:34:44	1717/1717	---M--	200	added ('OK')	image/png	etag:%226412714b-6b5%22	http://saturn.picoctf.net:52044/images/mail_icon.png	saturn.picoctf.net_52044/images/mail_icon.png	(from http://saturn.picoctf.net:52044/)
20:34:45	15920/15920	---M--	200	added ('OK')	text/html	etag:%226412714b-3e30%22	http://saturn.picoctf.net:52044/index.html	saturn.picoctf.net_52044/index-2.html	(from http://saturn.picoctf.net:52044/)
20:34:46	5009/5009	---M--	200	added ('OK')	image/png	etag:%226412714b-1391%22	http://saturn.picoctf.net:52044/images/logo.png	saturn.picoctf.net_52044/images/logo.png	(from http://saturn.picoctf.net:52044/)
20:34:47	2277/2277	---M--	200	added ('OK')	image/png	etag:%226412714b-8e5%22	http://saturn.picoctf.net:52044/images/phone_icon.png	saturn.picoctf.net_52044/images/phone_icon.png	(from http://saturn.picoctf.net:52044/)
20:34:48	62595/62595	---M--	200	added ('OK')	image/jpeg	etag:%226412714b-f483%22	http://saturn.picoctf.net:52044/images/banner.jpg	saturn.picoctf.net_52044/images/banner.jpg	(from http://saturn.picoctf.net:52044/)
20:34:49	23667/23667	---M--	200	added ('OK')	image/png	etag:%226412714b-5c73%22	http://saturn.picoctf.net:52044/images/1.png	saturn.picoctf.net_52044/images/1.png	(from http://saturn.picoctf.net:52044/)
20:34:50	23992/23992	---M--	200	added ('OK')	image/png	etag:%226412714b-5db8%22	http://saturn.picoctf.net:52044/images/2.png	saturn.picoctf.net_52044/images/2.png	(from http://saturn.picoctf.net:52044/)
20:34:51	50839/50839	---M--	200	added ('OK')	image/png	etag:%226412714b-c697%22	http://saturn.picoctf.net:52044/images/3.png	saturn.picoctf.net_52044/images/3.png	(from http://saturn.picoctf.net:52044/)
20:34:53	87088/87088	---M--	200	added ('OK')	application/javascript	etag:%226412714b-15430%22	http://saturn.picoctf.net:52044/js/jquery.min.js	saturn.picoctf.net_52044/js/jquery.min.js	(from http://saturn.picoctf.net:52044/)
20:34:54	19190/19190	---M--	200	added ('OK')	application/javascript	etag:%226412714b-4af6%22	http://saturn.picoctf.net:52044/js/popper.min.js	saturn.picoctf.net_52044/js/popper.min.js	(from http://saturn.picoctf.net:52044/)
20:34:55	70808/70808	---M--	200	added ('OK')	application/javascript	etag:%226412714b-11498%22	http://saturn.picoctf.net:52044/js/bootstrap.bundle.min.js	saturn.picoctf.net_52044/js/bootstrap.bundle.min.js	(from http://saturn.picoctf.net:52044/)
20:34:56	44342/44342	---M--	200	added ('OK')	application/javascript	etag:%226412714b-ad36%22	http://saturn.picoctf.net:52044/js/owl.carousel.min.js	saturn.picoctf.net_52044/js/owl.carousel.min.js	(from http://saturn.picoctf.net:52044/)
20:34:56	7781/7781	---M--	200	added ('OK')	application/javascript	etag:%226412714b-1e65%22	http://saturn.picoctf.net:52044/js/custom.js	saturn.picoctf.net_52044/js/custom.js	(from http://saturn.picoctf.net:52044/)
20:34:57	45479/45479	---M--	200	added ('OK')	application/javascript	etag:%226412714b-b1a7%22	http://saturn.picoctf.net:52044/js/jquery.mCustomScrollbar.concat.min.js	saturn.picoctf.net_52044/js/jquery.mCustomScrollbar.concat.min.js	(from http://saturn.picoctf.net:52044/)
20:34:58	11324/11324	---M--	200	added ('OK')	application/javascript	etag:%226412714b-2c3c%22	http://saturn.picoctf.net:52044/js/jquery-3.0.0.min.js	saturn.picoctf.net_52044/js/jquery-3.0.0.min.js	(from http://saturn.picoctf.net:52044/)
20:34:59	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Nov%202024%2011:34:53%20GMT	http://saturn.picoctf.net:52044/images/maps-and-flags.png	saturn.picoctf.net_52044/images/maps-and-flags.png	(from http://saturn.picoctf.net:52044/)
20:35:00	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Nov%202024%2011:34:54%20GMT	http://saturn.picoctf.net:52044/css/owl.video.play.png	saturn.picoctf.net_52044/css/owl.video.play.png	(from http://saturn.picoctf.net:52044/css/owl.carousel.min.css)
20:35:01	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Nov%202024%2011:34:55%20GMT	http://saturn.picoctf.net:52044/images/fevicon.png	saturn.picoctf.net_52044/images/fevicon.png	(from http://saturn.picoctf.net:52044/css/style.css)
